transaction_id,date,n_items,items
T00001,2025-06-13,4,"Bananas, Chicken Breast, Lettuce, Rice"
T00002,2025-02-25,2,"Cereal, Rice"
T00003,2025-04-18,2,"Chicken Breast, Lettuce"
T00004,2025-06-28,2,"Chicken Breast, Rice"
T00005,2025-03-30,2,"Milk, Tea"
T00006,2025-06-08,6,"Beer, Chips, Coffee, Lettuce, Salsa, Soda"
T00007,2025-06-21,1,Eggs
T00008,2025-03-04,2,"Baby Wipes, Diapers"
T00009,2025-01-15,1,Milk
T00010,2025-01-17,1,Lettuce
T00011,2025-06-17,3,"Milk, Sugar, Tea"
T00012,2025-05-30,2,"Bananas, Cereal"
T00013,2025-02-09,3,"Cheese, Eggs, Wine"
T00014,2025-06-24,3,"Cheese, Chicken Breast, Tomatoes"
T00015,2025-03-09,4,"Bananas, Parmesan, Pasta, Soda"
T00016,2025-05-16,3,"Cheese, Rice, Yogurt"
T00017,2025-03-03,1,Lettuce
T00018,2025-05-05,3,"Coffee, Sugar, Tomatoes"
T00019,2025-02-24,5,"Apples, Baby Wipes, Beer, Coffee, Diapers"
T00020,2025-06-11,1,Eggs
T00021,2025-01-19,4,"Chicken Breast, Lettuce, Rice, Yogurt"
T00022,2025-02-18,2,"Cheese, Wine"
T00023,2025-06-15,3,"Baby Wipes, Cereal, Diapers"
T00024,2025-03-13,1,Eggs
T00025,2025-05-21,1,Tomatoes
T00026,2025-03-02,1,Yogurt
T00027,2025-01-16,2,"Bread, Jam"
T00028,2025-05-23,5,"Bananas, Coffee, Milk, Sugar, Yogurt"
T00029,2025-05-16,2,"Cheese, Soda"
T00030,2025-03-02,2,"Lettuce, Soda"
T00031,2025-06-18,2,"Cheese, Soda"
T00032,2025-03-03,2,"Coffee, Milk"
T00033,2025-04-28,3,"Bananas, Cereal, Lettuce"
T00034,2025-01-18,5,"Apples, Chips, Pasta, Salsa, Tomato Sauce"
T00035,2025-03-09,1,Bananas
T00036,2025-03-14,2,"Beer, Cheese"
T00037,2025-01-14,2,"Parmesan, Wine"
T00038,2025-02-11,3,"Parmesan, Tomatoes, Wine"
T00039,2025-04-05,4,"Coffee, Milk, Sugar, Wine"
T00040,2025-05-24,4,"Cereal, Cheese, Coffee, Wine"
T00041,2025-03-10,1,Bananas
T00042,2025-05-01,2,"Sugar, Tea"
T00043,2025-04-13,1,Eggs
T00044,2025-06-14,2,"Cheese, Tomatoes"
T00045,2025-02-15,3,"Chicken Breast, Milk, Rice"
T00046,2025-04-09,4,"Beer, Chicken Breast, Milk, Salsa"
T00047,2025-06-20,3,"Bananas, Cheese, Rice"
T00048,2025-04-14,3,"Coffee, Sugar, Tomatoes"
T00049,2025-04-14,3,"Apples, Bread, Butter"
T00050,2025-05-02,4,"Apples, Eggs, Pasta, Tomato Sauce"
T00051,2025-01-12,1,Yogurt
T00052,2025-04-27,2,"Baby Wipes, Lettuce"
T00053,2025-02-07,3,"Bananas, Bread, Jam"
T00054,2025-02-01,1,Tea
T00055,2025-04-24,2,"Soda, Wine"
T00056,2025-03-08,4,"Chicken Breast, Lettuce, Rice, Soda"
T00057,2025-01-21,4,"Bananas, Cereal, Ground Beef, Milk"
T00058,2025-04-18,1,Lettuce
T00059,2025-05-28,2,"Bread, Jam"
T00060,2025-05-20,4,"Cereal, Milk, Pasta, Yogurt"
T00061,2025-02-02,7,"Baby Wipes, Bread, Butter, Diapers, Milk, Sugar, Tomatoes"
T00062,2025-03-06,3,"Bread, Jam, Yogurt"
T00063,2025-03-05,4,"Bread, Butter, Cereal, Jam"
T00064,2025-01-30,4,"Apples, Parmesan, Pasta, Tomato Sauce"
T00065,2025-06-26,3,"Bananas, Cereal, Milk"
T00066,2025-01-11,2,"Parmesan, Wine"
T00067,2025-05-06,1,Chips
T00068,2025-05-14,4,"Chicken Breast, Rice, Tomatoes, Yogurt"
T00069,2025-04-26,1,Tea
T00070,2025-03-25,4,"Beer, Chips, Salsa, Soda"
T00071,2025-01-22,2,"Cheese, Wine"
T00072,2025-01-05,3,"Bananas, Cereal, Milk"
T00073,2025-05-21,4,"Cereal, Milk, Sugar, Tea"
T00074,2025-02-19,2,"Salsa, Yogurt"
T00075,2025-03-14,7,"Apples, Bananas, Beer, Butter, Cereal, Chips, Salsa"
T00076,2025-05-01,2,"Butter, Cheese"
T00077,2025-01-30,4,"Baby Wipes, Diapers, Eggs, Yogurt"
T00078,2025-05-23,3,"Bananas, Cereal, Rice"
T00079,2025-05-26,2,"Bananas, Rice"
T00080,2025-06-19,4,"Bananas, Cereal, Milk, Onions"
T00081,2025-03-14,2,"Eggs, Tea"
T00082,2025-02-20,2,"Eggs, Tomatoes"
T00083,2025-01-19,1,Apples
T00084,2025-03-15,1,Tea
T00085,2025-05-07,2,"Ground Beef, Rice"
T00086,2025-01-07,1,Lettuce
T00087,2025-06-22,2,"Lettuce, Milk"
T00088,2025-04-24,6,"Cheese, Garlic, Lettuce, Pasta, Tomato Sauce, Wine"
T00089,2025-05-21,1,Eggs
T00090,2025-04-14,5,"Bread, Butter, Jam, Tea, Tomatoes"
T00091,2025-02-01,1,Rice
T00092,2025-03-21,3,"Cheese, Tomatoes, Wine"
T00093,2025-05-08,4,"Apples, Chicken Breast, Rice, Soda"
T00094,2025-02-04,5,"Cheese, Chicken Breast, Lettuce, Salsa, Wine"
T00095,2025-03-27,3,"Baby Wipes, Diapers, Tomatoes"
T00096,2025-04-16,1,Yogurt
T00097,2025-04-09,4,"Coffee, Milk, Sugar, Yogurt"
T00098,2025-01-04,4,"Cheese, Coffee, Sugar, Wine"
T00099,2025-03-23,3,"Jam, Tomatoes, Yogurt"
T00100,2025-02-28,3,"Bananas, Cheese, Wine"
T00101,2025-01-15,3,"Chips, Salsa, Soda"
T00102,2025-06-06,4,"Bananas, Cereal, Rice, Yogurt"
T00103,2025-03-15,4,"Eggs, Parmesan, Pasta, Tomato Sauce"
T00104,2025-04-09,5,"Bananas, Beer, Cereal, Diapers, Milk"
T00105,2025-01-13,5,"Apples, Bananas, Cereal, Milk, Yogurt"
T00106,2025-06-10,1,Milk
T00107,2025-05-29,3,"Coffee, Milk, Sugar"
T00108,2025-04-04,3,"Chicken Breast, Pasta, Tomato Sauce"
T00109,2025-02-27,7,"Baby Wipes, Beer, Chips, Diapers, Salsa, Soda, Tomatoes"
T00110,2025-06-08,4,"Cereal, Cheese, Milk, Tomatoes"
T00111,2025-01-10,2,"Coffee, Yogurt"
T00112,2025-04-27,1,Tomatoes
T00113,2025-02-09,3,"Bananas, Wine, Yogurt"
T00114,2025-04-03,2,"Chips, Salsa"
T00115,2025-02-01,4,"Beer, Eggs, Sugar, Tea"
T00116,2025-05-31,3,"Bananas, Cereal, Milk"
T00117,2025-02-03,5,"Bananas, Garlic, Parmesan, Pasta, Tomato Sauce"
T00118,2025-05-15,1,Eggs
T00119,2025-05-12,3,"Soda, Sugar, Tea"
T00120,2025-06-14,5,"Baby Wipes, Beer, Diapers, Milk, Yogurt"
T00121,2025-06-09,2,"Cheese, Tomatoes"
T00122,2025-05-10,2,"Bananas, Rice"
T00123,2025-02-25,2,"Cereal, Milk"
T00124,2025-03-22,4,"Chips, Coffee, Milk, Sugar"
T00125,2025-05-24,3,"Bananas, Cheese, Wine"
T00126,2025-06-03,1,Bananas
T00127,2025-06-18,1,Bananas
T00128,2025-01-30,2,"Cereal, Lettuce"
T00129,2025-06-14,3,"Chicken Breast, Lettuce, Rice"
T00130,2025-02-06,4,"Baby Wipes, Bananas, Diapers, Eggs"
T00131,2025-03-21,2,"Eggs, Lettuce"
T00132,2025-01-13,4,"Chicken Breast, Lettuce, Rice, Tea"
T00133,2025-05-05,3,"Apples, Milk, Soda"
T00134,2025-02-05,3,"Apples, Cheese, Garlic"
T00135,2025-02-28,3,"Chips, Eggs, Salsa"
T00136,2025-04-20,4,"Apples, Cheese, Parmesan, Wine"
T00137,2025-01-23,2,"Bananas, Salsa"
T00138,2025-03-21,3,"Bananas, Cereal, Cheese"
T00139,2025-03-31,5,"Bananas, Cereal, Coffee, Milk, Sugar"
T00140,2025-05-29,1,Lettuce
T00141,2025-03-24,6,"Beer, Cheese, Coffee, Milk, Sugar, Tea"
T00142,2025-01-24,3,"Baby Wipes, Diapers, Soda"
T00143,2025-06-16,1,Rice
T00144,2025-01-16,1,Cheese
T00145,2025-06-15,1,Cereal
T00146,2025-04-04,1,Apples
T00147,2025-06-23,2,"Cheese, Eggs"
T00148,2025-03-06,4,"Coffee, Rice, Sugar, Tomato Sauce"
T00149,2025-01-22,2,"Baby Wipes, Diapers"
T00150,2025-06-25,5,"Cereal, Cheese, Eggs, Soda, Wine"
T00151,2025-03-17,2,"Bananas, Soda"
T00152,2025-01-10,4,"Baby Wipes, Coffee, Milk, Rice"
T00153,2025-04-16,1,Cereal
T00154,2025-03-01,2,"Apples, Yogurt"
T00155,2025-05-27,5,"Apples, Baby Wipes, Beer, Diapers, Tea"
T00156,2025-05-13,5,"Apples, Eggs, Garlic, Pasta, Tomato Sauce"
T00157,2025-01-14,2,"Chips, Salsa"
T00158,2025-06-16,3,"Coffee, Milk, Sugar"
T00159,2025-04-25,3,"Bread, Butter, Eggs"
