transaction_id,date,product_id,product_name,category,quantity,unit_price,line_total
T00001,2025-06-13,P024,Bananas,Produce,2,1.49,2.98
T00001,2025-06-13,P028,Chicken Breast,Meat,1,7.49,7.49
T00001,2025-06-13,P026,Lettuce,Produce,1,1.99,1.99
T00001,2025-06-13,P029,Rice,Pantry,1,3.99,3.99
T00002,2025-02-25,P007,Cereal,Breakfast,2,4.29,8.58
T00002,2025-02-25,P029,Rice,Pantry,2,3.99,7.98
T00003,2025-04-18,P028,Chicken Breast,Meat,1,7.49,7.49
T00003,2025-04-18,P026,Lettuce,Produce,2,1.99,3.98
T00004,2025-06-28,P028,Chicken Breast,Meat,1,7.49,7.49
T00004,2025-06-28,P029,Rice,Pantry,1,3.99,3.99
T00005,2025-03-30,P004,Milk,Dairy,1,1.99,1.99
T00005,2025-03-30,P010,Tea,Beverages,2,4.49,8.98
T00006,2025-06-08,P017,Beer,Alcohol,2,9.99,19.98
T00006,2025-06-08,P018,Chips,Snacks,1,3.49,3.49
T00006,2025-06-08,P008,Coffee,Beverages,1,7.99,7.99
T00006,2025-06-08,P026,Lettuce,Produce,2,1.99,3.98
T00006,2025-06-08,P019,Salsa,Snacks,1,3.79,3.79
T00006,2025-06-08,P020,Soda,Beverages,1,2.49,2.49
T00007,2025-06-21,P005,Eggs,Dairy,1,3.49,3.49
T00008,2025-03-04,P023,Baby Wipes,Baby,1,4.99,4.99
T00008,2025-03-04,P022,Diapers,Baby,1,14.99,14.99
T00009,2025-01-15,P004,Milk,Dairy,1,1.99,1.99
T00010,2025-01-17,P026,Lettuce,Produce,1,1.99,1.99
T00011,2025-06-17,P004,Milk,Dairy,1,1.99,1.99
T00011,2025-06-17,P009,Sugar,Pantry,2,2.19,4.38
T00011,2025-06-17,P010,Tea,Beverages,1,4.49,4.49
T00012,2025-05-30,P024,Bananas,Produce,2,1.49,2.98
T00012,2025-05-30,P007,Cereal,Breakfast,2,4.29,8.58
T00013,2025-02-09,P006,Cheese,Dairy,1,5.49,5.49
T00013,2025-02-09,P005,Eggs,Dairy,1,3.49,3.49
T00013,2025-02-09,P021,Wine,Alcohol,3,12.99,38.97
T00014,2025-06-24,P006,Cheese,Dairy,1,5.49,5.49
T00014,2025-06-24,P028,Chicken Breast,Meat,3,7.49,22.47
T00014,2025-06-24,P027,Tomatoes,Produce,2,2.49,4.98
T00015,2025-03-09,P024,Bananas,Produce,1,1.49,1.49
T00015,2025-03-09,P013,Parmesan,Dairy,2,6.49,12.98
T00015,2025-03-09,P011,Pasta,Pantry,1,1.79,1.79
T00015,2025-03-09,P020,Soda,Beverages,2,2.49,4.98
T00016,2025-05-16,P006,Cheese,Dairy,1,5.49,5.49
T00016,2025-05-16,P029,Rice,Pantry,3,3.99,11.97
T00016,2025-05-16,P030,Yogurt,Dairy,2,4.49,8.98
T00017,2025-03-03,P026,Lettuce,Produce,1,1.99,1.99
T00018,2025-05-05,P008,Coffee,Beverages,1,7.99,7.99
T00018,2025-05-05,P009,Sugar,Pantry,2,2.19,4.38
T00018,2025-05-05,P027,Tomatoes,Produce,1,2.49,2.49
T00019,2025-02-24,P025,Apples,Produce,1,2.99,2.99
T00019,2025-02-24,P023,Baby Wipes,Baby,1,4.99,4.99
T00019,2025-02-24,P017,Beer,Alcohol,1,9.99,9.99
T00019,2025-02-24,P008,Coffee,Beverages,1,7.99,7.99
T00019,2025-02-24,P022,Diapers,Baby,1,14.99,14.99
T00020,2025-06-11,P005,Eggs,Dairy,2,3.49,6.98
T00021,2025-01-19,P028,Chicken Breast,Meat,1,7.49,7.49
T00021,2025-01-19,P026,Lettuce,Produce,1,1.99,1.99
T00021,2025-01-19,P029,Rice,Pantry,2,3.99,7.98
T00021,2025-01-19,P030,Yogurt,Dairy,2,4.49,8.98
T00022,2025-02-18,P006,Cheese,Dairy,1,5.49,5.49
T00022,2025-02-18,P021,Wine,Alcohol,1,12.99,12.99
T00023,2025-06-15,P023,Baby Wipes,Baby,1,4.99,4.99
T00023,2025-06-15,P007,Cereal,Breakfast,1,4.29,4.29
T00023,2025-06-15,P022,Diapers,Baby,1,14.99,14.99
T00024,2025-03-13,P005,Eggs,Dairy,2,3.49,6.98
T00025,2025-05-21,P027,Tomatoes,Produce,3,2.49,7.47
T00026,2025-03-02,P030,Yogurt,Dairy,2,4.49,8.98
T00027,2025-01-16,P001,Bread,Bakery,1,2.49,2.49
T00027,2025-01-16,P003,Jam,Pantry,3,3.29,9.87
